,order_imbalance,effective_spread,realized_volatility,bid_ask_spread,vwap_deviation,price_momentum,trade_flow_intensity,micro_price,trade_imbalance,depth_imbalance
order_imbalance,1.0,-0.047574750735550064,0.009296286229947482,-0.08933869028370904,-0.11209909411919587,-0.12267316463442886,0.012270216692208867,0.8767510536549123,0.15804616177434153,1.0
effective_spread,-0.047574750735550064,1.0,0.6297911015279491,0.024489513327563987,0.05926693790830318,0.009674022413347722,-0.07728348801903967,-0.06488462161088263,0.044391737682414216,-0.047574750735550064
realized_volatility,0.009296286229947482,0.6297911015279491,1.0,-0.05532795588574932,0.052211900070592066,0.005222392459821536,0.09443768460911482,0.08437917989633363,-0.050008749159485937,0.009296286229947482
bid_ask_spread,-0.08933869028370904,0.024489513327563987,-0.05532795588574932,1.0,-0.03847222062803345,0.009886307672966424,0.035449265600420526,-0.03086647144918257,-0.005177610401757116,-0.08933869028370904
vwap_deviation,-0.11209909411919587,0.05926693790830318,0.052211900070592066,-0.03847222062803345,1.0,0.15751107042480714,0.005756131633354984,-0.16222581727465885,0.14153596366035823,-0.11209909411919587
price_momentum,-0.12267316463442886,0.009674022413347722,0.005222392459821536,0.009886307672966424,0.15751107042480714,1.0,-0.002346476966345935,-0.12345108203339596,0.34450459100473396,-0.12267316463442886
trade_flow_intensity,0.012270216692208867,-0.07728348801903967,0.09443768460911482,0.035449265600420526,0.005756131633354984,-0.002346476966345935,1.0,0.018142401160094065,-0.005605221585610942,0.012270216692208867
micro_price,0.8767510536549123,-0.06488462161088263,0.08437917989633363,-0.03086647144918257,-0.16222581727465885,-0.12345108203339596,0.018142401160094065,1.0,0.09761338619166164,0.8767510536549123
trade_imbalance,0.15804616177434153,0.044391737682414216,-0.050008749159485937,-0.005177610401757116,0.14153596366035823,0.34450459100473396,-0.005605221585610942,0.09761338619166164,1.0,0.15804616177434153
depth_imbalance,1.0,-0.047574750735550064,0.009296286229947482,-0.08933869028370904,-0.11209909411919587,-0.12267316463442886,0.012270216692208867,0.8767510536549123,0.15804616177434153,1.0
